INDEX:198:<ulong>,amplitude:198:<double>,average:198:<double>,change_percentage:198:<double>,close_price:198:<double>,divergence_h_highest:198:<double>,divergence_h_lowest:198:<double>,highest_price:198:<double>,lowest_price:198:<double>,ma10:198:<double>,ma20:198:<double>,ma3:198:<double>,ma30:198:<double>,ma5:198:<double>,ma60:198:<double>,name:198:<string>,nonrest_float_amount:198:<double>,open_price:198:<double>,ticker:198:<string>,trade_date:198:<string>,tradestatus:198:<double>,turnover_amount:198:<double>,turnover_rate:198:<double>,turnover_vol:198:<double>,turnover_vol_ratio:198:<double>
116,4.01,84.6,-3.19,83.26,1,3,86.45,83,83.94,81.63,85.08,81,84.49,78.67,,0,86,300861,2021-10-28,1,159706365.08,1.08,188777500,0.93
117,5.45,82.03,-0.28,83.03,1,10,84.92,80.38,84.05,81.62,84.1,81.03,84.62,78.81,,0,84.88,300861,2021-10-29,1,138535458.13,0.96,168888100,0.79
118,5.56,84.39,2.93,85.46,2,1,85.82,81.2,84.18,81.85,83.92,81.21,84.75,78.98,,0,82.9,300861,2021-11-01,1,193382180.14,1.31,229149800,1.02
119,4.45,84.54,-1.47,84.2,3,1,86.4,82.6,84.28,82,84.23,81.34,84.39,79.06,,0,84.79,300861,2021-11-02,1,122714520.09,0.83,145153300,0.68
120,5.94,82.61,-3.21,81.5,1,15,85,80,84.02,82.23,83.72,81.4,83.49,79.06,,0,84.47,300861,2021-11-03,1,113412512.08,0.78,137291500,0.71
121,4.79,84.14,1.71,82.89,2,1,85.19,81.29,83.95,82.46,82.86,81.54,83.42,79.14,,0,81.29,300861,2021-11-04,1,158896499.62,1.08,188847000,1.09
122,6.38,81.21,-0.82,82.21,1,17,83.86,78.57,83.93,82.73,82.2,81.68,83.25,79.28,,0,82.49,300861,2021-11-05,1,238675900.84,1.67,293884500,1.69
123,5.73,80.71,-3.08,79.68,1,1,83.83,79.12,83.42,82.85,81.59,81.67,82.1,79.34,,0,81.78,300861,2021-11-08,1,108132938.09,0.76,133977300,0.67
124,9.55,84.83,6.25,84.66,10,1,87.5,79.89,83.29,83.29,82.18,81.97,82.19,79.49,,0,79.89,300861,2021-11-09,1,327957838.57,2.2,386622500,2.15
125,5.76,82.63,-0.69,84.08,1,1,85.88,81,83.1,83.45,82.81,82.05,82.7,79.7,,0,84.67,300861,2021-11-10,1,150154763.32,1.04,181714000,0.8
126,3.08,82.58,-2.47,82,1,1,84.3,81.71,82.97,83.46,83.58,82.08,82.53,79.88,,0,83.6,300861,2021-11-11,1,95816444.45,0.66,116030000,0.49
127,3.12,82.69,0.49,82.4,1,2,84.06,81.5,82.91,83.48,82.83,82.05,82.56,80.07,,0,81.93,300861,2021-11-12,1,106488229.29,0.73,128785400,0.58
